S000000027	YAL029C	MYO4	ORF	DOID:0060775	microvillus inclusion disease	ISS		HGNC:7603	manually curated	25860149	Menconi G, et al. (2015) Global mapping of DNA conformational flexibility on Saccharomyces cerevisiae. PLoS Comput Biol 11(4):e1004136
S000003767	YJR007W	SUI2	ORF	DOID:10579	leukodystrophy	IGI		HGNC:3265	manually curated	23335982	de Almeida RA, et al. (2013) A yeast purification system for human translation initiation factors eIF2 and eIF2Bε and their use in the diagnosis of CACH/VWM disease. PLoS One 8(1):e53958
S000003767	YJR007W	SUI2	ORF	DOID:10579	leukodystrophy	ISS		HGNC:3265	manually curated	23335982	de Almeida RA, et al. (2013) A yeast purification system for human translation initiation factors eIF2 and eIF2Bε and their use in the diagnosis of CACH/VWM disease. PLoS One 8(1):e53958
S000003775	YJR014W	TMA22	ORF	DOID:0060041	autism spectrum disorder	IMP			manually curated	34016977	
S000003775	YJR014W	TMA22	ORF	DOID:0060041	autism spectrum disorder	ISS		HGNC:2769	manually curated	34016977	
S000003796	YJR035W	RAD26	ORF	DOID:0080908	Cockayne syndrome B	IMP			manually curated	34853308	Yan C, et al. (2021) Mechanism of Rad26-assisted rescue of stalled RNA polymerase II in transcription-coupled repair. Nat Commun 12(1):7001
S000003796	YJR035W	RAD26	ORF	DOID:0080908	Cockayne syndrome B	ISS		HGNC:3438	manually curated	34853308	Yan C, et al. (2021) Mechanism of Rad26-assisted rescue of stalled RNA polymerase II in transcription-coupled repair. Nat Commun 12(1):7001
S000003801	YJR040W	GEF1	ORF	DOID:0050699	Dent disease	IMP			manually curated	30038027	Soma S, et al. (2018) Elesclomol restores mitochondrial function in genetic models of copper deficiency. Proc Natl Acad Sci U S A 115(32):8161-8166
S000003801	YJR040W	GEF1	ORF	DOID:0050699	Dent disease	ISS		HGNC:2023	manually curated	30038027	Soma S, et al. (2018) Elesclomol restores mitochondrial function in genetic models of copper deficiency. Proc Natl Acad Sci U S A 115(32):8161-8166
S000003801	YJR040W	GEF1	ORF	DOID:13533	osteopetrosis	IMP			manually curated	30038027	Soma S, et al. (2018) Elesclomol restores mitochondrial function in genetic models of copper deficiency. Proc Natl Acad Sci U S A 115(32):8161-8166
S000003801	YJR040W	GEF1	ORF	DOID:13533	osteopetrosis	ISS		HGNC:2025	manually curated	30038027	Soma S, et al. (2018) Elesclomol restores mitochondrial function in genetic models of copper deficiency. Proc Natl Acad Sci U S A 115(32):8161-8166
S000003804	YJR043C	POL32	ORF	DOID:162	cancer	ISS		HGNC:20932	manually curated	25497329	Bursomanno S, et al. (2015) Proteome-wide analysis of SUMO2 targets in response to pathological DNA replication stress in human cells. DNA Repair (Amst) 25:84-96
S000003806	YJR045C	SSC1	ORF	DOID:14330	Parkinson's disease	IMP			manually curated	22544056	Goswami AV, et al. (2012) Enhanced J-protein interaction and compromised protein stability of mtHsp70 variants lead to mitochondrial dysfunction in Parkinson's disease. Hum Mol Genet 21(15):3317-32
S000003806	YJR045C	SSC1	ORF	DOID:14330	Parkinson's disease	ISS		HGNC:5244	manually curated	22544056	Goswami AV, et al. (2012) Enhanced J-protein interaction and compromised protein stability of mtHsp70 variants lead to mitochondrial dysfunction in Parkinson's disease. Hum Mol Genet 21(15):3317-32
S000003809	YJR048W	CYC1	ORF	DOID:1588	thrombocytopenia	IGI		HGNC:19986	manually curated	24326104	
S000003809	YJR048W	CYC1	ORF	DOID:1588	thrombocytopenia	ISS		HGNC:19986	manually curated	24326104	
S000003809	YJR048W	CYC1	ORF	DOID:4195	hyperglycemia	IGI		HGNC:2579	manually curated	23910460	Gaignard P, et al. (2013) Mutations in CYC1, encoding cytochrome c1 subunit of respiratory chain complex III, cause insulin-responsive hyperglycemia. Am J Hum Genet 93(2):384-9
S000003809	YJR048W	CYC1	ORF	DOID:4195	hyperglycemia	ISS		HGNC:2579	manually curated	23910460	Gaignard P, et al. (2013) Mutations in CYC1, encoding cytochrome c1 subunit of respiratory chain complex III, cause insulin-responsive hyperglycemia. Am J Hum Genet 93(2):384-9
S000003825	YJR064W	CCT5	ORF	DOID:0110132	Bardet-Biedl syndrome 10	IGI		HGNC:26291	high-throughput	28542158	Yang F, et al. (2017) Identifying pathogenicity of human variants via paralog-based yeast complementation. PLoS Genet. 13(5):e1006779
S000003825	YJR064W	CCT5	ORF	DOID:0110132	Bardet-Biedl syndrome 10	ISS		HGNC:26291	high-throughput	28542158	Yang F, et al. (2017) Identifying pathogenicity of human variants via paralog-based yeast complementation. PLoS Genet. 13(5):e1006779
S000003827	YJR066W	TOR1	ORF	DOID:162	cancer	IMP			manually curated	30700905	Coelho MC, et al. (2019) Heterozygous mutations cause genetic instability in a yeast model of cancer evolution. Nature 566(7743):275-278
S000003827	YJR066W	TOR1	ORF	DOID:162	cancer	ISS		HGNC:3942	manually curated	30700905	Coelho MC, et al. (2019) Heterozygous mutations cause genetic instability in a yeast model of cancer evolution. Nature 566(7743):275-278
S000003865	YJR104C	SOD1	ORF	DOID:332	amyotrophic lateral sclerosis	IGI		HGNC:11179	manually curated	15069187	Carroll MC, et al. (2004) Mechanisms for activating Cu- and Zn-containing superoxide dismutase in the absence of the CCS Cu chaperone. Proc Natl Acad Sci U S A 101(16):5964-9
S000003865	YJR104C	SOD1	ORF	DOID:332	amyotrophic lateral sclerosis	IGI		HGNC:11179	manually curated	15488469	Gunther MR, et al. (2004) Expression of a familial amyotrophic lateral sclerosis-associated mutant human superoxide dismutase in yeast leads to decreased mitochondrial electron transport. Arch Biochem Biophys 431(2):207-14
S000003865	YJR104C	SOD1	ORF	DOID:332	amyotrophic lateral sclerosis	IGI		HGNC:11179	manually curated	28794127	Cruz-Garcia D, et al. (2017) A diacidic motif determines unconventional secretion of wild-type and ALS-linked mutant SOD1. J. Cell Biol. 216(9):2691-2700
S000003865	YJR104C	SOD1	ORF	DOID:332	amyotrophic lateral sclerosis	IMP			manually curated	27656112	
S000003865	YJR104C	SOD1	ORF	DOID:332	amyotrophic lateral sclerosis	IMP			manually curated	28768772	Banerjee V, et al. (2017) A computational combinatorial approach identifies a protein inhibitor of superoxide dismutase 1 misfolding, aggregation, and cytotoxicity. J. Biol. Chem. 292(38):15777-15788
S000003865	YJR104C	SOD1	ORF	DOID:332	amyotrophic lateral sclerosis	ISS		HGNC:11179	manually curated	15069187	Carroll MC, et al. (2004) Mechanisms for activating Cu- and Zn-containing superoxide dismutase in the absence of the CCS Cu chaperone. Proc Natl Acad Sci U S A 101(16):5964-9
S000003865	YJR104C	SOD1	ORF	DOID:332	amyotrophic lateral sclerosis	ISS		HGNC:11179	manually curated	15488469	Gunther MR, et al. (2004) Expression of a familial amyotrophic lateral sclerosis-associated mutant human superoxide dismutase in yeast leads to decreased mitochondrial electron transport. Arch Biochem Biophys 431(2):207-14
S000003865	YJR104C	SOD1	ORF	DOID:332	amyotrophic lateral sclerosis	ISS		HGNC:11179	manually curated	27656112	
S000003865	YJR104C	SOD1	ORF	DOID:332	amyotrophic lateral sclerosis	ISS		HGNC:11179	manually curated	28768772	Banerjee V, et al. (2017) A computational combinatorial approach identifies a protein inhibitor of superoxide dismutase 1 misfolding, aggregation, and cytotoxicity. J. Biol. Chem. 292(38):15777-15788
S000003865	YJR104C	SOD1	ORF	DOID:332	amyotrophic lateral sclerosis	ISS		HGNC:11179	manually curated	28794127	Cruz-Garcia D, et al. (2017) A diacidic motif determines unconventional secretion of wild-type and ALS-linked mutant SOD1. J. Cell Biol. 216(9):2691-2700
S000003871	YJR110W	YMR1	ORF	DOID:0111225	centronuclear myopathy X-linked	IGI		HGNC:7448	manually curated	28934386	Raess MA, et al. (2017) Expression of the neuropathy-associated MTMR2 gene rescues MTM1-associated myopathy. Hum Mol Genet 26(19):3736-3748
S000003871	YJR110W	YMR1	ORF	DOID:0111225	centronuclear myopathy X-linked	ISS		HGNC:7448	manually curated	28934386	Raess MA, et al. (2017) Expression of the neuropathy-associated MTMR2 gene rescues MTM1-associated myopathy. Hum Mol Genet 26(19):3736-3748
S000003871	YJR110W	YMR1	ORF	DOID:10595	Charcot-Marie-Tooth disease	IGI		HGNC:7450	manually curated	28934386	Raess MA, et al. (2017) Expression of the neuropathy-associated MTMR2 gene rescues MTM1-associated myopathy. Hum Mol Genet 26(19):3736-3748
S000003871	YJR110W	YMR1	ORF	DOID:10595	Charcot-Marie-Tooth disease	ISS		HGNC:7450	manually curated	28934386	Raess MA, et al. (2017) Expression of the neuropathy-associated MTMR2 gene rescues MTM1-associated myopathy. Hum Mol Genet 26(19):3736-3748
S000003878	YJR117W	STE24	ORF	DOID:0060762	lethal restrictive dermopathy	IGI		HGNC:12877	manually curated	29794150	Spear ED, et al. (2018) ZMPSTE24 missense mutations that cause progeroid diseases decrease prelamin A cleavage activity and/or protein stability. Dis Model Mech 11(7)
S000003878	YJR117W	STE24	ORF	DOID:0060762	lethal restrictive dermopathy	ISS		HGNC:12877	manually curated	29794150	Spear ED, et al. (2018) ZMPSTE24 missense mutations that cause progeroid diseases decrease prelamin A cleavage activity and/or protein stability. Dis Model Mech 11(7)
S000003878	YJR117W	STE24	ORF	DOID:0080208	non-alcoholic fatty liver disease	IGI		HGNC:12877	manually curated	29794150	Spear ED, et al. (2018) ZMPSTE24 missense mutations that cause progeroid diseases decrease prelamin A cleavage activity and/or protein stability. Dis Model Mech 11(7)
S000003878	YJR117W	STE24	ORF	DOID:0080208	non-alcoholic fatty liver disease	ISS		HGNC:12877	manually curated	29794150	Spear ED, et al. (2018) ZMPSTE24 missense mutations that cause progeroid diseases decrease prelamin A cleavage activity and/or protein stability. Dis Model Mech 11(7)
S000003878	YJR117W	STE24	ORF	DOID:9352	type 2 diabetes mellitus	IGI		HGNC:12877	manually curated	29526462	Kayatekin C, et al. (2018) Translocon Declogger Ste24 Protects against IAPP Oligomer-Induced Proteotoxicity. Cell 173(1):62-73.e9
S000003878	YJR117W	STE24	ORF	DOID:9352	type 2 diabetes mellitus	ISS		HGNC:12877	manually curated	29526462	Kayatekin C, et al. (2018) Translocon Declogger Ste24 Protects against IAPP Oligomer-Induced Proteotoxicity. Cell 173(1):62-73.e9
S000003899	YJR138W	IML1	ORF	DOID:162	cancer	IGI		HGNC:18423	manually curated	23716719	Panchaud N, et al. (2013) Amino acid deprivation inhibits TORC1 through a GTPase-activating protein complex for the Rag family GTPase Gtr1. Sci Signal 6(277):ra42
S000003899	YJR138W	IML1	ORF	DOID:162	cancer	ISS		HGNC:18423	manually curated	23716719	Panchaud N, et al. (2013) Amino acid deprivation inhibits TORC1 through a GTPase-activating protein complex for the Rag family GTPase Gtr1. Sci Signal 6(277):ra42
S000003904	YJR143C	PMT4	ORF	DOID:0050560	Walker-Warburg syndrome	IMP			manually curated	27358400	
S000003904	YJR143C	PMT4	ORF	DOID:0050560	Walker-Warburg syndrome	ISS		HGNC:9202	manually curated	27358400	
S000003924	YLL001W	DNM1	ORF	DOID:0070347	encephalopathy due to defective mitochondrial and peroxisomal fission 1	IGI		HGNC:2973	manually curated	27328748	Nasca A, et al. (2016) Biallelic Mutations in DNM1L are Associated with a Slowly Progressive Infantile Encephalopathy. Hum Mutat 37(9):898-903
S000003924	YLL001W	DNM1	ORF	DOID:0070347	encephalopathy due to defective mitochondrial and peroxisomal fission 1	ISS		HGNC:2973	manually curated	27328748	Nasca A, et al. (2016) Biallelic Mutations in DNM1L are Associated with a Slowly Progressive Infantile Encephalopathy. Hum Mutat 37(9):898-903
S000003963	YLL040C	VPS13	ORF	DOID:0050753	cerebellar ataxia	IMP		HGNC:23595	manually curated	31943017	Dziurdzik SK, et al. (2020) A VPS13D spastic ataxia mutation disrupts the conserved adaptor-binding site in yeast Vps13. Hum Mol Genet 29(4):635-648
S000003963	YLL040C	VPS13	ORF	DOID:0050753	cerebellar ataxia	ISS		HGNC:23595	manually curated	31943017	Dziurdzik SK, et al. (2020) A VPS13D spastic ataxia mutation disrupts the conserved adaptor-binding site in yeast Vps13. Hum Mol Genet 29(4):635-648
S000003963	YLL040C	VPS13	ORF	DOID:0050766	choreaacanthocytosis	IMP		HGNC:1908	manually curated	30635263	Soczewka P, et al. (2019) Yeast-model-based study identified myosin- and calcium-dependent calmodulin signalling as a potential target for drug intervention in chorea-acanthocytosis. Dis Model Mech 12(1)
S000003963	YLL040C	VPS13	ORF	DOID:0050766	choreaacanthocytosis	IMP		HGNC:1908	manually curated	31943017	Dziurdzik SK, et al. (2020) A VPS13D spastic ataxia mutation disrupts the conserved adaptor-binding site in yeast Vps13. Hum Mol Genet 29(4):635-648
S000003963	YLL040C	VPS13	ORF	DOID:0050766	choreaacanthocytosis	IMP		HGNC:1908	manually curated	34201352	
S000003963	YLL040C	VPS13	ORF	DOID:0050766	choreaacanthocytosis	IMP			manually curated	30093493	Kumar N, et al. (2018) VPS13A and VPS13C are lipid transport proteins differentially localized at ER contact sites. J Cell Biol 217(10):3625-3639
S000003963	YLL040C	VPS13	ORF	DOID:0050766	choreaacanthocytosis	IMP			manually curated	32407779	Kolakowski D, et al. (2020) The binding of the APT1 domains to phosphoinositides is regulated by metal ions in vitro. Biochim Biophys Acta Biomembr 1862(9):183349
S000003963	YLL040C	VPS13	ORF	DOID:0050766	choreaacanthocytosis	ISS		HGNC:1908	manually curated	30093493	Kumar N, et al. (2018) VPS13A and VPS13C are lipid transport proteins differentially localized at ER contact sites. J Cell Biol 217(10):3625-3639
S000003963	YLL040C	VPS13	ORF	DOID:0050766	choreaacanthocytosis	ISS		HGNC:1908	manually curated	30635263	Soczewka P, et al. (2019) Yeast-model-based study identified myosin- and calcium-dependent calmodulin signalling as a potential target for drug intervention in chorea-acanthocytosis. Dis Model Mech 12(1)
S000003963	YLL040C	VPS13	ORF	DOID:0050766	choreaacanthocytosis	ISS		HGNC:1908	manually curated	31943017	Dziurdzik SK, et al. (2020) A VPS13D spastic ataxia mutation disrupts the conserved adaptor-binding site in yeast Vps13. Hum Mol Genet 29(4):635-648
S000003963	YLL040C	VPS13	ORF	DOID:0050766	choreaacanthocytosis	ISS		HGNC:1908	manually curated	32407779	Kolakowski D, et al. (2020) The binding of the APT1 domains to phosphoinositides is regulated by metal ions in vitro. Biochim Biophys Acta Biomembr 1862(9):183349
S000003963	YLL040C	VPS13	ORF	DOID:0050766	choreaacanthocytosis	ISS		HGNC:1908	manually curated	34201352	
S000003963	YLL040C	VPS13	ORF	DOID:0060896	Parkinson's disease 23	IMP			manually curated	30093493	Kumar N, et al. (2018) VPS13A and VPS13C are lipid transport proteins differentially localized at ER contact sites. J Cell Biol 217(10):3625-3639
S000003963	YLL040C	VPS13	ORF	DOID:0060896	Parkinson's disease 23	ISS		HGNC:23594	manually curated	30093493	Kumar N, et al. (2018) VPS13A and VPS13C are lipid transport proteins differentially localized at ER contact sites. J Cell Biol 217(10):3625-3639
S000003963	YLL040C	VPS13	ORF	DOID:0111590	Cohen syndrome	IMP		HGNC:2183	manually curated	31943017	Dziurdzik SK, et al. (2020) A VPS13D spastic ataxia mutation disrupts the conserved adaptor-binding site in yeast Vps13. Hum Mol Genet 29(4):635-648
S000003963	YLL040C	VPS13	ORF	DOID:0111590	Cohen syndrome	IMP		HGNC:2183	manually curated	34201352	
S000003963	YLL040C	VPS13	ORF	DOID:0111590	Cohen syndrome	ISS		HGNC:2183	manually curated	31943017	Dziurdzik SK, et al. (2020) A VPS13D spastic ataxia mutation disrupts the conserved adaptor-binding site in yeast Vps13. Hum Mol Genet 29(4):635-648
S000003963	YLL040C	VPS13	ORF	DOID:0111590	Cohen syndrome	ISS		HGNC:2183	manually curated	34201352	
S000003963	YLL040C	VPS13	ORF	DOID:0111611	autosomal recessive spinocerebellar ataxia 4	IMP		HGNC:23595	manually curated	34201352	
S000003963	YLL040C	VPS13	ORF	DOID:0111611	autosomal recessive spinocerebellar ataxia 4	ISS		HGNC:23595	manually curated	34201352	
S000003963	YLL040C	VPS13	ORF	DOID:14330	Parkinson's disease	IMP		HGNC:23594	manually curated	31943017	Dziurdzik SK, et al. (2020) A VPS13D spastic ataxia mutation disrupts the conserved adaptor-binding site in yeast Vps13. Hum Mol Genet 29(4):635-648
S000003963	YLL040C	VPS13	ORF	DOID:14330	Parkinson's disease	IMP		HGNC:23594	manually curated	34201352	
S000003963	YLL040C	VPS13	ORF	DOID:14330	Parkinson's disease	ISS		HGNC:23594	manually curated	31943017	Dziurdzik SK, et al. (2020) A VPS13D spastic ataxia mutation disrupts the conserved adaptor-binding site in yeast Vps13. Hum Mol Genet 29(4):635-648
S000003963	YLL040C	VPS13	ORF	DOID:14330	Parkinson's disease	ISS		HGNC:23594	manually curated	34201352	
S000003964	YLL041C	SDH2	ORF	DOID:0050773	paraganglioma	IGI		HGNC:10681	manually curated	19261679	Goffrini P, et al. (2009) Functional study in a yeast model of a novel succinate dehydrogenase subunit B gene germline missense mutation (C191Y) diagnosed in a patient affected by a glomus tumor. Hum Mol Genet 18(10):1860-8
S000003964	YLL041C	SDH2	ORF	DOID:0050773	paraganglioma	ISS		HGNC:10681	manually curated	19261679	Goffrini P, et al. (2009) Functional study in a yeast model of a novel succinate dehydrogenase subunit B gene germline missense mutation (C191Y) diagnosed in a patient affected by a glomus tumor. Hum Mol Genet 18(10):1860-8
S000003964	YLL041C	SDH2	ORF	DOID:890	mitochondrial encephalomyopathy	IMP			manually curated	25736212	Nesti C, et al. (2015) Additive effect of nuclear and mitochondrial mutations in a patient with mitochondrial encephalomyopathy. Hum Mol Genet 24(11):3248-56
S000003964	YLL041C	SDH2	ORF	DOID:890	mitochondrial encephalomyopathy	ISS		HGNC:10681	manually curated	25736212	Nesti C, et al. (2015) Additive effect of nuclear and mitochondrial mutations in a patient with mitochondrial encephalomyopathy. Hum Mol Genet 24(11):3248-56
S000004012	YLR022C	SDO1	ORF	DOID:0060479	Shwachman-Diamond syndrome	IMP		HGNC:19440	manually curated	30938873	Jensen LT, et al. (2019) Decreased accumulation of superoxide dismutase 2 within mitochondria in the yeast model of Shwachman-Diamond syndrome. J Cell Biochem 120(8):13867-13880
S000004012	YLR022C	SDO1	ORF	DOID:0060479	Shwachman-Diamond syndrome	IMP			manually curated	19713223	Moore JB, et al. (2010) Distinct ribosome maturation defects in yeast models of Diamond-Blackfan anemia and Shwachman-Diamond syndrome. Haematologica 95(1):57-64
S000004012	YLR022C	SDO1	ORF	DOID:0060479	Shwachman-Diamond syndrome	IMP			manually curated	23792098	Henson AL, et al. (2013) Mitochondrial function is impaired in yeast and human cellular models of Shwachman Diamond syndrome. Biochem Biophys Res Commun 437(1):29-34
S000004012	YLR022C	SDO1	ORF	DOID:0060479	Shwachman-Diamond syndrome	IMP			manually curated	26743985	Kanprasoet W, et al. (2015) Deletion of Mitochondrial Porin Alleviates Stress Sensitivity in the Yeast Model of Shwachman-Diamond Syndrome. J Genet Genomics 42(12):671-84
S000004012	YLR022C	SDO1	ORF	DOID:0060479	Shwachman-Diamond syndrome	IMP			manually curated	26850260	Ma C, et al. (2016) Structural dynamics of the yeast Shwachman-Diamond syndrome protein (Sdo1) on the ribosome and its implication in the 60S subunit maturation. Protein Cell 7(3):187-200
S000004012	YLR022C	SDO1	ORF	DOID:0060479	Shwachman-Diamond syndrome	IMP			manually curated	32944219	Jain A, et al. (2020) Disruption in iron homeostasis and impaired activity of iron-sulfur cluster containing proteins in the yeast model of Shwachman-Diamond syndrome. Cell Biosci 10:105
S000004012	YLR022C	SDO1	ORF	DOID:0060479	Shwachman-Diamond syndrome	ISS		HGNC:19440	manually curated	19713223	Moore JB, et al. (2010) Distinct ribosome maturation defects in yeast models of Diamond-Blackfan anemia and Shwachman-Diamond syndrome. Haematologica 95(1):57-64
S000004012	YLR022C	SDO1	ORF	DOID:0060479	Shwachman-Diamond syndrome	ISS		HGNC:19440	manually curated	23792098	Henson AL, et al. (2013) Mitochondrial function is impaired in yeast and human cellular models of Shwachman Diamond syndrome. Biochem Biophys Res Commun 437(1):29-34
S000004012	YLR022C	SDO1	ORF	DOID:0060479	Shwachman-Diamond syndrome	ISS		HGNC:19440	manually curated	26743985	Kanprasoet W, et al. (2015) Deletion of Mitochondrial Porin Alleviates Stress Sensitivity in the Yeast Model of Shwachman-Diamond Syndrome. J Genet Genomics 42(12):671-84
S000004012	YLR022C	SDO1	ORF	DOID:0060479	Shwachman-Diamond syndrome	ISS		HGNC:19440	manually curated	26850260	Ma C, et al. (2016) Structural dynamics of the yeast Shwachman-Diamond syndrome protein (Sdo1) on the ribosome and its implication in the 60S subunit maturation. Protein Cell 7(3):187-200
S000004012	YLR022C	SDO1	ORF	DOID:0060479	Shwachman-Diamond syndrome	ISS		HGNC:19440	manually curated	30938873	Jensen LT, et al. (2019) Decreased accumulation of superoxide dismutase 2 within mitochondria in the yeast model of Shwachman-Diamond syndrome. J Cell Biochem 120(8):13867-13880
S000004012	YLR022C	SDO1	ORF	DOID:0060479	Shwachman-Diamond syndrome	ISS		HGNC:19440	manually curated	32944219	Jain A, et al. (2020) Disruption in iron homeostasis and impaired activity of iron-sulfur cluster containing proteins in the yeast model of Shwachman-Diamond syndrome. Cell Biosci 10:105
S000004012	YLR022C	SDO1	ORF	DOID:0110731	neuronal ceroid lipofuscinosis 3	IMP			manually curated	20015955	Vitiello SP, et al. (2010) Interaction between Sdo1p and Btn1p in the Saccharomyces cerevisiae model for Batten disease. Hum Mol Genet 19(5):931-42
S000004012	YLR022C	SDO1	ORF	DOID:0110731	neuronal ceroid lipofuscinosis 3	ISS		HGNC:19440	manually curated	20015955	Vitiello SP, et al. (2010) Interaction between Sdo1p and Btn1p in the Saccharomyces cerevisiae model for Batten disease. Hum Mol Genet 19(5):931-42
S000004022	YLR032W	RAD5	ORF	DOID:3119	gastrointestinal system cancer	IGI		HGNC:11099	manually curated	18316726	Unk I, et al. (2008) Human HLTF functions as a ubiquitin ligase for proliferating cell nuclear antigen polyubiquitination. Proc Natl Acad Sci U S A 105(10):3768-73
S000004022	YLR032W	RAD5	ORF	DOID:3119	gastrointestinal system cancer	ISS		HGNC:11099	manually curated	18316726	Unk I, et al. (2008) Human HLTF functions as a ubiquitin ligase for proliferating cell nuclear antigen polyubiquitination. Proc Natl Acad Sci U S A 105(10):3768-73
S000004028	YLR038C	COX12	ORF	DOID:11984	hypertrophic cardiomyopathy	IMP			manually curated	30038027	Soma S, et al. (2018) Elesclomol restores mitochondrial function in genetic models of copper deficiency. Proc Natl Acad Sci U S A 115(32):8161-8166
S000004028	YLR038C	COX12	ORF	DOID:11984	hypertrophic cardiomyopathy	ISS		HGNC:2280	manually curated	30038027	Soma S, et al. (2018) Elesclomol restores mitochondrial function in genetic models of copper deficiency. Proc Natl Acad Sci U S A 115(32):8161-8166
S000004028	YLR038C	COX12	ORF	DOID:890	mitochondrial encephalomyopathy	IMP			manually curated	30038027	Soma S, et al. (2018) Elesclomol restores mitochondrial function in genetic models of copper deficiency. Proc Natl Acad Sci U S A 115(32):8161-8166
S000004028	YLR038C	COX12	ORF	DOID:890	mitochondrial encephalomyopathy	ISS		HGNC:2280	manually curated	30038027	Soma S, et al. (2018) Elesclomol restores mitochondrial function in genetic models of copper deficiency. Proc Natl Acad Sci U S A 115(32):8161-8166
S000004065	YLR075W	RPL10	ORF	DOID:0060807	syndromic X-linked intellectual disability Najm type	IGI		HGNC:10298	manually curated	26290468	Zanni G, et al. (2015) A Novel Mutation in RPL10 (Ribosomal Protein L10) Causes X-Linked Intellectual Disability, Cerebellar Hypoplasia, and Spondylo-Epiphyseal Dysplasia. Hum Mutat 36(12):1155-8
S000004065	YLR075W	RPL10	ORF	DOID:0060807	syndromic X-linked intellectual disability Najm type	ISS		HGNC:10298	manually curated	26290468	Zanni G, et al. (2015) A Novel Mutation in RPL10 (Ribosomal Protein L10) Causes X-Linked Intellectual Disability, Cerebellar Hypoplasia, and Spondylo-Epiphyseal Dysplasia. Hum Mutat 36(12):1155-8
S000004065	YLR075W	RPL10	ORF	DOID:12849	autistic disorder	IGI		HGNC:10298	manually curated	16940977	Klauck SM, et al. (2006) Mutations in the ribosomal protein gene RPL10 suggest a novel modulating disease mechanism for autism. Mol Psychiatry 11(12):1073-84
S000004065	YLR075W	RPL10	ORF	DOID:12849	autistic disorder	ISS		HGNC:10298	manually curated	16940977	Klauck SM, et al. (2006) Mutations in the ribosomal protein gene RPL10 suggest a novel modulating disease mechanism for autism. Mol Psychiatry 11(12):1073-84
S000004065	YLR075W	RPL10	ORF	DOID:14789	spondyloepiphyseal dysplasia congenita	IGI		HGNC:10298	manually curated	26290468	Zanni G, et al. (2015) A Novel Mutation in RPL10 (Ribosomal Protein L10) Causes X-Linked Intellectual Disability, Cerebellar Hypoplasia, and Spondylo-Epiphyseal Dysplasia. Hum Mutat 36(12):1155-8
S000004065	YLR075W	RPL10	ORF	DOID:14789	spondyloepiphyseal dysplasia congenita	ISS		HGNC:10298	manually curated	26290468	Zanni G, et al. (2015) A Novel Mutation in RPL10 (Ribosomal Protein L10) Causes X-Linked Intellectual Disability, Cerebellar Hypoplasia, and Spondylo-Epiphyseal Dysplasia. Hum Mutat 36(12):1155-8
S000004065	YLR075W	RPL10	ORF	DOID:5603	T-cell acute lymphoblastic leukemia	IMP			manually curated	24706786	
S000004065	YLR075W	RPL10	ORF	DOID:5603	T-cell acute lymphoblastic leukemia	ISS		HGNC:10298	manually curated	24706786	
S000004068	YLR078C	BOS1	ORF	DOID:0111449	progressive myoclonus epilepsy 6	IMP			manually curated	28982678	
S000004089	YLR099C	ICT1	ORF	DOID:0050729	neutral lipid storage disease	IGI		HGNC:21396	manually curated	18606822	Ghosh AK, et al. (2008) CGI-58, the causative gene for Chanarin-Dorfman syndrome, mediates acylation of lysophosphatidic acid. J Biol Chem 283(36):24525-33
S000004089	YLR099C	ICT1	ORF	DOID:0050729	neutral lipid storage disease	ISS		HGNC:21396	manually curated	18606822	Ghosh AK, et al. (2008) CGI-58, the causative gene for Chanarin-Dorfman syndrome, mediates acylation of lysophosphatidic acid. J Biol Chem 283(36):24525-33
S000004089	YLR099C	ICT1	ORF	DOID:1697	ichthyosis	ISS		HGNC:21396	manually curated	25860149	Menconi G, et al. (2015) Global mapping of DNA conformational flexibility on Saccharomyces cerevisiae. PLoS Comput Biol 11(4):e1004136
S000004090	YLR100W	ERG27	ORF	DOID:1701	steroid inherited metabolic disorder	IGI		HGNC:5215	manually curated	12829805	Marijanovic Z, et al. (2003) Closing the gap: identification of human 3-ketosteroid reductase, the last unknown enzyme of mammalian cholesterol biosynthesis. Mol Endocrinol 17(9):1715-25
S000004090	YLR100W	ERG27	ORF	DOID:1701	steroid inherited metabolic disorder	ISS		HGNC:5215	manually curated	12829805	Marijanovic Z, et al. (2003) Closing the gap: identification of human 3-ketosteroid reductase, the last unknown enzyme of mammalian cholesterol biosynthesis. Mol Endocrinol 17(9):1715-25
S000004093	YLR103C	CDC45	ORF	DOID:0060306	Meier-Gorlin syndrome	IMP			manually curated	30595439	
S000004093	YLR103C	CDC45	ORF	DOID:0060306	Meier-Gorlin syndrome	ISS		HGNC:1739	manually curated	30595439	
S000004123	YLR133W	CKI1	ORF	DOID:10907	microcephaly	IGI		HGNC:1937	manually curated	35202461	Klöckner C, et al. (2022) Bi-allelic variants in CHKA cause a neurodevelopmental disorder with epilepsy and microcephaly. Brain 145(6):1916-1923
S000004123	YLR133W	CKI1	ORF	DOID:10907	microcephaly	ISS		HGNC:1937	manually curated	35202461	Klöckner C, et al. (2022) Bi-allelic variants in CHKA cause a neurodevelopmental disorder with epilepsy and microcephaly. Brain 145(6):1916-1923
S000004123	YLR133W	CKI1	ORF	DOID:1826	epilepsy	IGI		HGNC:1937	manually curated	35202461	Klöckner C, et al. (2022) Bi-allelic variants in CHKA cause a neurodevelopmental disorder with epilepsy and microcephaly. Brain 145(6):1916-1923
